temperature,humidity,wind_speed,cloud_cover,pressure,visibility,irradiance,solar_output
-4.71,34.73,5.91,42.29,959.91,15.44,955.72,119.601
38.22,30.75,16.12,51.72,1040.78,0.89,955.56,15.497
32.46,61.78,10.75,37.0,985.43,23.31,70.1,12.805
33.64,87.28,1.23,74.08,1032.53,13.17,930.56,32.398
35.88,94.94,11.31,78.42,963.94,1.27,668.23,5.861
-1.08,15.06,19.04,76.33,999.79,8.69,418.49,10.494
14.0,19.71,19.31,72.26,947.4,2.11,62.17,0.779
1.14,94.75,12.48,20.45,1021.42,9.95,745.44,80.468
40.74,74.97,15.66,33.8,1003.09,16.81,361.02,22.288
28.03,88.88,33.79,46.98,1007.56,11.85,514.55,3.263
12.54,24.25,13.21,33.08,950.17,9.72,749.9,61.388
-1.63,60.82,9.04,75.49,966.1,3.16,1002.95,16.182
11.48,71.61,8.52,32.94,952.43,6.27,907.98,84.093
12.23,69.61,16.02,13.82,973.89,2.68,495.66,21.132
33.67,43.77,26.58,39.9,1007.74,20.23,426.56,0.0
28.79,6.46,7.21,97.99,1001.62,3.55,263.76,0.0
42.02,60.38,24.83,22.59,1006.21,14.97,409.67,8.938
20.03,29.04,0.74,61.22,999.93,8.7,122.15,8.197
1.34,47.77,14.66,43.3,972.3,5.8,1068.22,46.771
32.8,95.97,27.16,7.1,969.45,16.06,631.31,8.251
35.32,42.91,11.86,48.79,958.71,11.53,140.59,11.266
24.75,84.78,19.73,70.22,1029.91,10.12,388.09,2.769
35.86,22.91,7.17,51.32,1006.65,14.9,601.74,58.105
21.17,68.88,25.97,87.21,963.65,12.38,586.17,0.0
22.7,97.82,1.83,28.89,962.72,7.73,39.05,10.679
17.66,14.68,29.84,8.62,1032.3,14.06,1045.93,13.168
-3.65,5.79,6.94,93.66,1019.27,16.8,302.91,1.567
0.72,46.19,30.6,37.82,1010.94,0.86,17.8,1.702
-3.33,13.8,12.34,57.64,985.69,11.75,84.09,4.361
28.73,76.1,25.29,79.2,971.2,1.63,638.21,1.402
11.66,91.88,11.17,32.43,1042.95,4.82,151.56,12.214
21.95,46.23,31.71,71.62,1024.72,14.1,45.9,0.0
43.1,29.58,4.43,13.54,975.18,21.68,417.59,109.208
8.21,46.27,6.25,29.13,1029.76,22.09,685.04,150.774
16.75,73.73,17.26,14.47,1020.89,1.93,123.02,9.462
35.04,5.86,2.87,81.12,974.71,10.59,344.66,6.952
7.13,61.0,6.86,22.26,987.66,14.66,459.54,88.644
-0.92,63.26,33.03,71.74,963.6,3.85,175.41,0.838
10.36,65.58,34.18,94.33,956.11,19.18,556.68,3.735
3.54,27.99,13.17,52.78,1017.28,18.66,93.74,9.896
44.27,72.84,32.32,54.0,971.75,22.6,51.17,0.808
37.83,13.68,19.07,46.1,1027.01,0.41,571.82,1.248
28.57,23.93,9.44,32.59,1044.56,5.57,272.69,31.47
41.19,88.36,24.58,47.57,952.66,20.71,104.91,2.384
37.59,75.18,23.06,60.28,992.3,16.83,466.3,2.547
4.89,6.31,34.62,98.6,1025.21,22.38,1006.65,1.843
42.31,28.6,9.28,93.78,1023.9,1.62,796.61,0.0
23.59,25.37,23.52,86.22,1021.0,15.0,897.18,5.539
37.79,30.73,1.82,88.91,979.9,14.31,959.11,11.687
42.49,28.52,3.98,46.78,990.39,1.08,1069.89,45.812
11.85,10.94,0.14,65.74,1004.5,12.94,839.57,56.637
0.83,48.6,34.98,89.51,1042.39,15.32,669.25,3.784
7.08,74.61,28.08,39.3,977.75,4.94,401.97,2.167
17.64,62.64,27.54,96.18,1037.31,6.98,199.81,1.993
38.35,68.92,17.84,41.58,971.94,16.08,755.33,30.637
40.62,12.71,10.5,60.11,1043.91,11.81,1094.44,56.273
-4.63,95.39,5.29,70.98,1012.03,21.48,514.09,29.123
22.07,84.66,9.96,95.06,991.35,8.69,796.05,4.64
17.12,81.48,13.16,24.46,1006.34,6.81,544.6,40.109
6.77,83.18,26.47,74.61,972.25,24.62,475.13,0.0
1.35,93.61,18.89,52.08,972.42,22.8,451.34,14.455
12.89,56.7,2.71,26.86,956.36,0.92,555.09,35.989
44.97,24.03,0.63,77.66,956.41,19.31,403.59,13.519
12.13,63.59,3.58,55.22,979.77,2.94,823.65,40.266
22.5,75.57,14.37,66.1,1021.29,0.88,961.7,8.23
32.26,75.1,32.66,32.29,1005.8,6.99,971.17,4.473
14.27,54.54,22.31,48.13,955.26,6.88,250.47,2.275
46.5,11.5,28.06,61.74,1030.22,20.52,985.5,4.098
46.01,40.26,16.32,40.49,1005.14,17.82,375.71,22.838
8.34,92.47,12.66,19.84,1041.09,24.54,340.24,49.459
21.35,60.52,3.79,96.16,1012.02,17.85,799.43,6.692
10.95,56.14,30.66,51.15,962.52,10.57,335.17,0.0
10.1,30.54,27.41,73.39,992.38,17.53,58.26,7.943
-3.04,40.0,5.88,41.1,1009.85,24.99,410.98,64.396
27.31,90.06,17.93,35.51,947.83,17.81,793.61,35.624
21.64,68.31,17.06,40.72,946.49,19.09,359.65,19.613
-2.27,79.8,21.88,40.92,957.94,23.47,692.51,18.014
9.77,48.16,33.12,54.42,970.17,3.02,726.13,3.455
43.14,64.87,20.29,54.35,987.95,17.68,807.11,16.012
7.7,28.6,18.91,49.72,993.74,21.3,986.84,38.847
2.68,72.02,1.76,13.48,958.8,23.87,475.82,120.931
20.94,45.62,2.2,49.61,1012.34,5.43,183.08,13.967
47.24,47.04,6.56,16.91,1004.61,12.7,350.82,67.333
7.83,66.69,1.14,12.61,974.45,17.08,475.38,124.812
30.62,93.95,26.02,93.26,946.37,6.34,785.28,0.242
35.37,11.08,25.32,60.5,952.76,15.09,14.43,0.003
7.59,83.35,4.76,65.95,984.17,6.59,347.36,18.632
33.6,32.78,29.26,40.18,960.4,8.47,857.83,7.307
14.49,47.17,5.42,90.9,982.68,11.15,737.94,15.18
28.51,7.08,10.54,63.79,1007.82,13.32,804.91,33.241
28.58,33.6,8.71,76.92,999.72,11.34,892.99,27.782
23.4,52.75,13.03,36.86,968.12,12.43,861.56,66.303
-0.21,10.34,8.91,96.0,979.38,7.61,750.4,2.572
39.27,51.65,17.11,82.05,1006.4,4.14,483.63,3.817
12.0,93.08,14.26,85.39,1031.09,1.37,1081.96,8.463
4.89,15.01,34.53,17.22,1020.32,5.06,625.98,3.093
-2.84,77.62,1.96,27.1,1000.34,14.63,223.05,44.083
26.32,43.92,4.98,28.56,981.23,19.7,322.09,67.286
30.91,67.24,1.85,27.09,981.51,4.4,762.92,81.337
-4.12,29.72,21.9,85.54,1032.94,2.89,1017.21,2.121
22.14,20.15,1.91,3.19,948.92,18.78,196.59,60.541
7.0,20.24,29.28,7.61,1043.8,7.77,90.58,0.0
29.19,11.7,17.92,27.39,1011.44,23.8,969.68,69.589
4.24,22.64,18.45,19.99,1013.11,17.92,1006.81,83.396
31.62,68.1,19.66,23.19,948.8,8.3,304.02,13.791
15.5,88.76,5.98,79.79,1005.55,7.38,415.01,11.666
44.65,82.34,6.92,56.31,993.48,13.19,726.21,45.207
2.29,70.09,11.16,0.58,955.58,2.16,362.92,35.331
13.08,15.49,20.77,42.93,972.79,3.12,964.87,13.335
1.01,32.47,7.35,40.79,1034.03,4.56,118.34,5.808
44.01,34.43,4.07,11.39,1000.0,19.41,41.78,10.326
41.5,28.75,33.95,67.61,986.34,12.94,229.33,3.969
8.67,53.93,0.77,70.21,952.27,0.46,314.7,6.555
29.98,55.88,28.09,72.09,1016.41,16.9,124.22,0.32
38.31,38.9,27.58,72.85,1015.29,10.71,72.26,0.0
24.43,38.61,10.4,0.01,1006.4,12.87,831.17,180.743
23.07,83.71,4.75,95.39,996.03,5.51,180.7,1.684
7.82,79.98,5.1,81.42,988.38,13.88,1005.31,24.956
-0.07,34.24,24.41,90.4,1004.33,24.48,404.8,0.0
42.55,91.81,22.5,1.56,968.34,2.02,737.67,12.159
42.72,95.52,27.4,93.39,1039.13,7.24,247.94,0.0
28.55,36.04,32.81,80.98,1003.88,6.23,264.36,0.0
12.97,38.67,24.22,83.72,976.12,6.36,632.18,2.218
13.51,53.04,5.45,9.33,989.97,9.59,616.71,140.269
33.48,94.41,8.52,73.88,1025.57,20.49,845.6,31.028
42.55,88.25,29.48,95.99,961.16,22.84,833.59,0.0
42.02,14.74,7.33,67.85,974.28,5.21,737.76,27.658
36.33,42.31,2.54,57.06,1012.95,13.67,494.04,40.098
29.03,57.57,24.61,94.56,976.55,16.0,979.7,1.497
-0.54,52.8,14.09,44.29,1024.25,13.14,684.84,45.156
3.57,23.42,32.2,59.93,958.05,10.97,1089.22,3.856
42.62,86.59,22.76,47.63,1021.27,4.96,901.31,10.341
27.14,69.31,3.16,93.28,951.84,12.31,48.74,0.0
-4.51,84.6,33.17,7.61,946.26,10.15,352.65,3.711
0.38,86.58,9.05,50.11,1034.82,19.93,629.06,65.205
30.17,76.09,11.8,68.7,1003.13,19.14,793.62,34.567
-4.73,46.73,14.08,79.19,980.18,3.52,605.37,5.733
3.52,63.0,1.79,58.3,968.26,2.4,864.74,35.357
24.08,20.23,17.38,90.89,1006.69,22.72,310.92,8.708
31.67,69.0,4.32,94.2,995.9,13.48,202.3,5.698
29.55,22.03,14.03,6.43,1044.16,21.47,59.31,8.191
6.89,70.93,12.27,40.24,1043.32,1.64,630.65,23.923
32.75,26.81,27.05,2.35,1008.5,13.26,757.46,14.044
7.57,16.17,28.11,32.94,989.29,13.58,358.76,0.059
12.25,20.7,5.37,53.69,994.11,21.55,674.94,80.516
34.56,5.19,12.83,91.08,1013.25,2.62,57.37,1.281
29.43,73.28,13.07,84.66,955.16,6.16,109.22,2.46
40.01,74.58,5.3,12.75,977.84,10.28,771.93,141.511
29.85,53.92,27.95,9.3,952.53,21.67,404.88,3.469
25.12,20.33,24.75,58.93,952.34,23.48,738.47,8.149
-0.04,12.94,6.66,53.21,964.58,24.82,914.89,90.036
14.49,6.82,12.84,26.64,993.53,23.99,937.88,121.306
9.06,20.75,3.7,89.95,1023.48,0.35,189.38,0.74
7.93,89.63,21.99,92.74,993.55,1.38,534.91,1.093
46.57,27.95,4.25,40.26,978.55,3.86,807.32,58.926
15.83,38.66,34.51,89.03,953.24,8.85,851.38,0.0
42.28,15.01,27.32,38.39,1000.03,20.78,863.14,5.062
28.45,26.12,13.66,73.68,972.13,22.34,250.98,8.807
37.12,54.33,20.25,47.59,1006.49,4.83,211.79,1.147
21.64,62.74,31.9,12.26,1042.72,15.57,649.01,3.594
25.58,28.31,19.39,92.79,956.13,22.95,815.19,0.0
21.1,10.48,6.11,45.41,966.21,11.7,351.05,31.404
5.35,42.15,13.25,73.45,992.31,2.77,115.18,5.719
33.29,27.25,29.51,36.72,1041.86,11.55,788.42,5.893
9.88,25.86,22.55,1.89,1022.18,9.52,329.67,15.801
-3.71,96.19,22.78,10.05,1034.82,14.53,183.0,8.401
29.21,63.55,30.34,49.62,978.37,11.08,162.5,0.902
4.39,57.9,31.29,69.0,1044.2,0.63,346.4,0.119
44.84,44.5,32.19,33.47,955.28,24.85,651.95,8.276
45.56,45.75,3.32,69.55,950.3,13.68,394.24,17.92
43.49,56.39,19.04,69.86,1030.56,11.95,22.73,4.514
14.62,71.16,25.92,70.39,1037.73,23.87,106.6,2.195
-4.18,71.7,26.49,49.25,954.06,4.07,319.55,0.0
44.2,21.31,21.24,91.49,956.34,4.89,725.67,0.0
17.69,52.51,5.84,48.92,948.32,20.24,108.37,9.917
46.23,44.14,27.91,45.03,955.45,6.67,616.72,6.061
46.07,87.7,25.2,19.94,965.94,20.02,131.87,0.059
40.21,64.98,3.01,30.77,1042.01,6.93,232.78,27.757
10.61,55.59,16.23,4.23,1011.79,1.02,189.41,10.075
15.41,15.96,6.09,63.35,1022.86,13.02,73.95,4.947
40.11,62.54,11.81,24.85,1022.61,5.08,738.46,61.629
11.8,16.13,0.63,30.42,998.51,18.99,509.74,113.807
3.98,37.03,14.01,77.08,1024.75,16.1,914.16,23.386
24.51,18.57,19.25,32.72,1004.58,23.11,108.78,6.156
44.62,70.75,21.69,24.22,976.45,19.62,159.21,1.288
31.89,24.59,23.22,16.91,1001.11,4.68,337.1,4.78
25.21,42.23,29.27,77.49,998.35,20.04,842.45,3.929
0.15,90.09,7.54,12.97,1027.35,16.12,336.33,73.693
27.6,24.41,4.22,45.38,1043.17,16.79,449.26,69.446
47.47,53.24,29.8,50.69,986.1,20.84,331.76,1.796
2.42,44.83,5.48,68.74,1021.34,14.43,88.25,5.574
22.47,6.72,34.12,63.33,954.98,11.76,1033.38,1.101
41.5,80.31,29.49,81.07,1022.68,15.99,603.39,2.373
34.26,11.56,17.53,4.48,982.14,7.59,866.62,61.327
31.94,50.05,34.35,29.64,948.94,4.73,724.19,10.283
32.23,58.26,3.41,28.01,981.32,15.49,565.68,103.438
14.05,64.7,10.61,14.6,1006.06,6.0,98.65,15.342
10.56,70.42,22.34,28.92,956.93,2.18,707.01,5.038
37.9,29.06,12.25,30.98,1037.4,0.21,170.91,4.905
37.94,5.95,32.49,52.19,952.77,15.29,455.82,5.694
40.95,73.73,2.3,66.37,1038.0,9.18,692.02,35.961
43.4,55.89,19.23,38.11,1015.71,18.86,860.45,35.251
22.1,84.43,20.68,71.95,977.97,9.5,753.55,4.288
21.58,83.03,22.85,33.62,984.08,12.25,738.69,12.935
37.31,85.12,8.95,29.03,1019.08,10.3,163.95,17.533
29.45,51.08,12.76,54.12,1005.15,16.33,380.74,26.523
32.2,36.69,29.53,2.37,1012.16,9.03,47.2,0.0
37.18,80.2,6.82,7.98,983.92,24.1,791.42,191.304
42.17,47.87,28.94,41.8,993.78,23.42,1047.84,3.593
12.91,22.43,19.69,94.29,1043.99,21.23,290.52,0.0
14.91,86.22,26.68,72.15,966.39,23.02,96.47,0.0
-0.02,88.84,24.98,8.81,986.79,11.34,523.13,4.509
25.65,49.3,7.26,84.63,974.18,13.5,942.37,22.908
-3.1,12.19,19.91,73.23,1021.51,18.6,607.17,9.629
19.68,41.84,30.37,61.09,1021.4,17.46,51.45,0.0
23.76,81.34,15.12,82.03,974.24,22.29,1071.7,16.7
10.19,90.67,33.83,40.41,953.14,17.97,911.51,9.744
26.31,24.33,15.83,22.15,946.14,24.95,144.75,13.493
-3.38,11.36,5.0,51.2,987.75,8.84,1013.98,98.494
-3.02,88.35,13.63,54.88,986.03,20.86,495.76,28.359
38.6,41.99,33.31,53.83,1043.84,17.5,409.09,4.217
14.09,56.47,11.19,56.51,991.98,17.35,507.16,29.915
1.73,96.97,30.38,94.87,970.64,8.28,918.03,2.276
22.68,11.32,30.84,90.22,1034.12,19.68,725.43,1.39
35.81,66.59,12.26,87.57,994.11,22.53,65.17,2.373
6.44,12.04,2.91,80.14,1004.92,5.62,1053.36,23.854
28.01,40.67,25.36,94.34,954.57,15.71,162.56,0.478
-0.48,81.36,10.9,9.85,983.29,9.92,820.12,117.945
-2.26,46.18,27.4,26.51,1039.42,24.74,699.75,2.142
23.16,99.73,15.49,49.51,1003.95,12.08,206.28,11.511
23.65,58.11,16.98,84.65,979.45,5.86,187.81,0.0
28.78,35.51,27.23,50.52,1007.57,9.67,957.36,4.871
33.48,25.91,13.38,74.8,1036.04,16.42,461.66,12.6
46.72,38.3,15.51,13.9,972.4,2.09,720.03,33.598
22.36,40.39,13.17,25.24,995.51,15.17,554.48,62.463
12.12,11.53,12.86,73.18,1040.87,23.29,800.09,27.668
37.14,40.11,18.41,16.47,962.24,21.29,527.17,40.139
9.35,49.1,28.31,35.14,1016.97,1.88,316.12,3.531
18.27,73.66,12.66,26.49,1006.45,24.84,399.72,55.855
-0.84,67.39,18.35,34.99,1012.97,17.53,944.99,55.125
-3.66,72.33,23.48,70.83,980.12,4.22,514.84,1.967
46.02,5.79,9.43,36.78,976.39,0.51,234.79,4.611
39.31,25.68,9.71,55.53,1013.42,4.45,1028.07,46.529
31.89,67.86,32.67,9.99,966.55,20.99,876.26,13.256
16.67,50.98,25.32,80.5,986.97,0.74,61.23,0.0
4.18,5.5,20.2,36.99,963.82,5.98,1098.84,30.247
3.29,81.43,22.67,64.85,945.83,18.98,764.42,6.2
8.26,78.42,1.03,72.54,1042.01,14.74,176.29,10.843
24.11,57.1,21.63,20.97,988.17,19.61,260.88,14.015
32.87,11.31,17.83,88.47,1041.93,18.7,761.69,8.273
29.99,77.82,19.1,61.62,959.03,1.45,857.74,6.938
9.84,60.45,12.58,42.87,1003.74,22.33,262.94,20.86
45.61,79.29,2.85,18.23,965.1,5.83,282.67,34.353
34.11,76.42,6.77,94.23,1024.01,13.92,337.83,5.406
24.38,81.29,33.28,75.51,1023.37,16.18,657.82,8.748
27.42,54.21,14.3,20.8,956.26,4.38,189.0,10.338
17.24,18.33,16.33,33.77,1036.21,24.41,114.67,10.842
8.13,68.76,1.84,80.97,964.46,12.31,746.75,18.102
13.87,63.95,1.31,69.57,1006.3,1.63,857.01,18.835
35.17,75.51,25.1,76.58,1043.56,23.44,551.02,0.0
-4.24,21.14,18.83,44.12,1033.24,14.74,400.22,11.151
1.15,23.52,17.8,71.65,1040.66,17.54,475.25,13.756
-2.56,89.59,8.51,38.65,979.26,13.22,427.25,38.414
-2.84,76.25,26.07,21.13,955.56,20.9,1055.98,10.727
40.34,91.28,5.89,63.27,963.83,1.02,844.9,13.364
32.29,77.08,6.65,97.6,995.05,6.86,228.9,0.0
20.13,61.73,16.12,31.06,1024.32,11.85,422.61,33.53
0.19,67.14,10.02,46.1,960.02,2.1,598.41,24.263
21.06,89.47,8.66,67.4,1010.97,17.71,674.28,30.561
20.09,59.99,22.58,54.15,977.36,9.96,515.0,4.187
4.18,65.08,22.78,84.34,979.12,6.96,891.14,0.0
17.99,19.87,28.86,76.17,1011.19,0.28,844.37,0.329
16.12,50.02,14.62,5.83,991.7,18.05,555.67,82.689
27.64,73.06,2.56,99.84,1026.2,20.88,939.87,15.598
28.66,30.74,9.58,75.24,960.59,10.0,826.2,14.573
-2.6,24.21,34.3,86.39,1023.99,14.19,856.44,0.944
14.85,34.81,20.87,65.12,951.42,5.85,1052.04,9.129
28.17,27.94,24.84,85.63,964.41,15.63,293.11,3.197
21.67,25.42,0.26,11.24,1010.61,0.5,294.41,25.681
40.39,45.36,18.14,34.77,1030.49,12.32,977.85,50.2
29.91,91.24,1.31,87.64,970.27,16.18,849.45,15.765
3.64,53.17,19.92,20.17,977.72,22.97,1019.2,60.517
-1.26,22.85,32.23,7.82,998.71,9.66,69.44,4.512
29.05,12.31,33.89,78.81,966.16,19.18,690.53,3.616
-3.59,71.13,18.92,83.55,1026.12,15.02,159.09,4.063
26.05,41.37,16.04,16.27,1022.36,23.19,554.29,68.749
44.83,83.07,33.08,85.43,959.53,10.08,171.32,1.387
25.5,67.65,23.58,68.68,991.38,8.11,140.89,5.091
15.57,80.64,2.27,52.01,1022.48,22.2,13.39,2.732
29.09,30.83,16.3,83.03,978.73,1.42,693.26,2.393
19.29,70.77,8.41,41.92,1008.31,3.58,394.92,26.149
23.92,30.09,16.44,19.4,950.02,2.24,115.71,4.636
44.9,94.21,15.94,28.49,1005.87,21.11,355.12,24.752
15.46,65.46,20.38,50.52,960.27,0.46,185.84,6.145
45.94,35.83,12.49,53.13,1028.06,21.57,1035.86,68.458
42.98,30.6,5.75,80.56,980.54,11.39,352.01,9.009
5.38,23.14,17.63,79.14,973.16,0.3,367.35,2.269
-1.32,70.99,29.06,58.14,1029.09,10.16,923.84,12.566
0.34,25.78,23.24,78.08,950.01,4.83,712.53,0.0
-4.03,61.55,11.84,19.18,984.66,15.69,781.19,108.807
0.01,30.14,32.74,5.01,982.0,17.05,699.6,6.837
31.2,67.89,31.93,87.36,973.48,12.29,1040.82,0.178
-1.23,82.42,7.33,7.56,1036.18,1.2,227.7,23.771
11.91,78.91,1.38,24.67,1020.09,16.47,1087.94,239.038
39.78,77.28,25.95,69.53,951.39,21.08,914.05,0.628
-3.77,22.83,28.97,40.94,1016.47,18.06,647.87,5.944
38.17,13.4,33.88,87.63,997.73,20.78,728.61,0.0
9.94,71.4,31.14,29.8,1035.09,5.17,713.71,5.604
1.26,39.99,21.02,1.19,976.29,22.24,64.24,8.032
31.93,46.07,18.55,30.07,1002.42,8.19,239.82,12.664
28.33,7.96,0.97,57.81,995.08,0.53,1057.62,30.417
41.51,29.66,8.63,37.59,993.96,21.12,587.8,79.133
33.96,8.2,16.09,53.49,990.61,23.56,416.19,18.942
37.58,88.52,22.0,87.66,965.56,16.46,838.24,1.914
9.95,28.12,19.5,91.25,1020.57,5.94,576.97,0.0
4.4,57.95,25.99,26.6,990.13,6.44,14.48,0.0
34.78,8.7,9.79,46.21,1040.85,11.77,809.86,67.877
37.76,68.35,19.77,54.91,971.08,22.47,805.44,20.957
47.5,35.69,3.08,94.91,1013.27,3.91,181.66,2.327
16.87,90.3,14.48,99.86,1039.07,20.68,1052.33,7.428
14.72,89.37,26.26,23.54,1011.35,7.42,246.3,0.0
36.15,35.9,24.27,72.7,1032.13,20.25,503.52,6.49
13.06,90.59,34.67,37.8,1027.75,23.02,126.21,0.0
44.33,99.63,9.73,0.81,981.01,10.8,663.61,104.941
40.5,83.41,17.44,0.93,1005.01,9.25,413.0,32.312
17.74,85.26,11.53,46.06,960.63,20.1,388.49,36.946
34.8,28.66,15.42,48.83,998.55,13.33,909.67,41.112
34.99,59.79,29.99,2.26,968.04,17.17,10.52,0.0
0.47,11.39,23.95,68.69,1019.37,15.65,877.74,4.744
42.84,14.02,30.89,29.4,997.81,3.99,628.59,2.92
21.78,99.89,7.12,55.99,986.12,21.15,1084.71,85.039
38.8,36.03,30.57,30.09,971.88,5.06,648.39,3.963
11.96,76.08,2.09,16.71,1044.87,23.32,60.92,20.229
42.46,81.63,31.1,40.72,952.17,6.41,55.71,1.168
15.63,86.51,11.52,23.23,949.36,18.4,971.47,118.795
-4.43,99.77,11.01,53.48,966.73,7.26,925.34,40.025
42.99,27.94,17.92,19.88,1042.11,8.08,380.48,20.922
-0.16,8.83,32.92,50.84,1042.92,7.89,679.84,3.422
11.92,44.06,1.67,15.74,1010.49,18.75,538.55,159.819
45.35,17.36,12.33,67.1,1033.01,14.01,1063.88,37.1
45.38,7.13,29.98,75.39,966.4,22.1,1044.96,1.834
25.39,39.24,13.86,11.04,1042.2,7.82,1082.22,128.729
28.49,79.46,6.97,46.78,959.28,17.36,953.09,93.256
18.77,58.79,14.87,7.09,955.11,18.87,1000.51,128.966
10.54,34.71,13.49,59.82,956.22,3.96,239.01,11.91
12.42,67.16,32.04,26.44,1002.31,10.13,914.11,9.422
30.64,27.04,26.67,52.76,1023.1,12.17,779.74,0.0
34.88,6.37,17.68,51.75,981.67,9.02,1059.07,31.998
36.95,77.61,34.59,92.44,1042.79,8.19,628.39,0.0
36.85,64.26,16.28,54.91,988.44,17.22,93.68,4.728
-0.17,77.42,2.04,58.3,960.04,5.55,657.14,29.24
21.2,8.7,9.18,40.17,991.6,17.79,755.24,89.618
-1.95,84.53,15.26,94.91,1012.9,23.39,242.35,0.364
24.13,63.85,5.49,77.72,1028.22,14.22,433.52,13.545
